external_id,created_at,total,customer_id,is_repeat,utm_campaign
seed-order-0587,2026-08-10T13:26:49Z,42.67,seed-customer-0154,false,google_brand_search
seed-order-1227,2026-08-26T14:19:06Z,29.8,seed-customer-0110,false,klaviyo_welcome_flow
seed-order-0539,2026-08-10T19:34:19Z,31.39,seed-customer-0981,false,klaviyo_welcome_flow
seed-order-0068,2026-08-24T03:09:36Z,29.04,seed-customer-0342,true,meta_retargeting
seed-order-0708,2026-08-10T10:04:47Z,23.97,seed-customer-0879,false,meta_prospecting
seed-order-1246,2026-08-02T19:31:29Z,24.83,seed-customer-0965,false,meta_retargeting
seed-order-0705,2026-08-12T08:31:23Z,17.15,seed-customer-0951,false,meta_prospecting
seed-order-0744,2026-08-28T09:49:28Z,36.18,seed-customer-0959,false,meta_retargeting
seed-order-0336,2026-08-24T02:09:40Z,28.83,seed-customer-0128,false,google_brand_search
seed-order-0308,2026-08-12T12:04:50Z,32.92,seed-customer-0073,false,meta_prospecting
seed-order-0759,2026-08-19T12:54:57Z,38.52,seed-customer-0497,false,meta_prospecting
seed-order-0853,2026-08-24T22:15:37Z,31.06,seed-customer-0015,false,meta_retargeting
seed-order-0179,2026-08-06T21:22:06Z,18.9,seed-customer-0939,true,meta_retargeting
seed-order-0266,2026-08-09T23:38:35Z,39.19,seed-customer-0380,true,meta_prospecting
seed-order-1069,2026-08-05T04:08:45Z,28.57,seed-customer-0492,false,google_brand_search
seed-order-1133,2026-08-13T12:17:23Z,29.3,seed-customer-0682,false,meta_prospecting
seed-order-0859,2026-08-05T03:28:19Z,32.44,seed-customer-0657,false,meta_prospecting
seed-order-0055,2026-08-22T15:21:37Z,22.56,seed-customer-0197,true,
seed-order-0774,2026-08-05T07:56:33Z,27.24,seed-customer-0943,false,
seed-order-0401,2026-08-29T22:54:01Z,31.23,seed-customer-0927,false,google_brand_search
seed-order-0404,2026-08-11T02:40:08Z,16.88,seed-customer-0198,false,meta_retargeting
seed-order-0743,2026-08-09T20:06:33Z,35.79,seed-customer-0400,false,meta_retargeting
seed-order-0332,2026-08-11T07:14:53Z,35.05,seed-customer-0213,false,klaviyo_welcome_flow
seed-order-0507,2026-08-06T12:21:48Z,31.7,seed-customer-0082,false,meta_prospecting
seed-order-1124,2026-08-27T16:17:08Z,21.03,seed-customer-0300,false,meta_prospecting
seed-order-0151,2026-08-06T01:38:21Z,33.0,seed-customer-0091,true,meta_prospecting
seed-order-0375,2026-08-12T18:51:55Z,33.53,seed-customer-0760,false,meta_prospecting
seed-order-1237,2026-08-11T03:08:08Z,29.2,seed-customer-0326,false,meta_retargeting
seed-order-1210,2026-08-26T16:58:55Z,16.12,seed-customer-0096,false,klaviyo_welcome_flow
seed-order-1055,2026-08-19T05:05:32Z,46.45,seed-customer-0532,false,google_brand_search
seed-order-1244,2026-08-30T04:23:39Z,21.09,seed-customer-0026,false,
seed-order-0981,2026-08-18T17:21:59Z,30.02,seed-customer-0885,false,meta_prospecting
seed-order-0457,2026-08-13T21:12:34Z,29.88,seed-customer-1000,false,meta_prospecting
seed-order-0651,2026-08-05T06:13:54Z,30.08,seed-customer-0562,false,google_brand_search
seed-order-0856,2026-08-03T07:01:54Z,27.9,seed-customer-0836,false,google_brand_search
seed-order-1205,2026-08-05T15:26:09Z,39.06,seed-customer-0344,false,meta_prospecting
seed-order-0722,2026-08-15T05:46:12Z,20.56,seed-customer-0984,false,meta_retargeting
seed-order-1095,2026-08-26T11:41:14Z,21.86,seed-customer-0017,false,google_brand_search
seed-order-0036,2026-08-09T18:38:23Z,25.94,seed-customer-0404,true,
seed-order-0739,2026-08-28T19:22:11Z,41.17,seed-customer-0610,false,meta_prospecting
seed-order-0253,2026-08-14T04:34:22Z,10.48,seed-customer-0850,true,meta_retargeting
seed-order-0763,2026-08-11T21:01:49Z,20.57,seed-customer-0140,false,meta_retargeting
seed-order-0529,2026-08-09T23:43:32Z,23.85,seed-customer-0915,false,
seed-order-0893,2026-08-20T04:07:40Z,33.85,seed-customer-0892,false,meta_prospecting
seed-order-0608,2026-08-09T11:01:18Z,42.87,seed-customer-0592,false,meta_prospecting
seed-order-0881,2026-08-20T07:42:16Z,26.69,seed-customer-0052,false,meta_prospecting
seed-order-0290,2026-08-17T10:18:03Z,28.28,seed-customer-0620,false,google_brand_search
seed-order-0693,2026-08-09T17:03:24Z,45.24,seed-customer-0644,false,meta_retargeting
seed-order-0142,2026-08-18T04:57:13Z,34.19,seed-customer-0131,true,meta_prospecting
seed-order-0319,2026-08-23T15:51:36Z,30.42,seed-customer-0180,false,google_brand_search
