campaign_external_id,date,impressions,clicks,spend,conversions,revenue,frequency,reach,email_sends,email_opens,email_clicks
meta_prospecting,2026-08-01,41383,837,456.9,23,1451.0,1.508,27443,,,
meta_retargeting,2026-08-01,10428,261,98.03,14,499.38,1.8324,5691,,,
google_brand_search,2026-08-01,4146,316,73.74,22,327.28,1.1501,3605,,,
klaviyo_welcome_flow,2026-08-01,1291,52,0,5,198.04,1,1291,1291,549,52
meta_prospecting,2026-08-02,41582,826,453.03,23,1429.93,1.5379,27039,,,
meta_retargeting,2026-08-02,10286,255,98.24,14,507.41,1.8411,5587,,,
google_brand_search,2026-08-02,4273,323,77.04,23,343.43,1.1437,3736,,,
klaviyo_welcome_flow,2026-08-02,1212,50,0,4,189.34,1,1212,1212,512,50
meta_prospecting,2026-08-03,42069,849,459.26,24,1457.67,1.6133,26077,,,
meta_retargeting,2026-08-03,10482,265,100.19,15,509.25,1.8668,5615,,,
google_brand_search,2026-08-03,4222,315,75.88,23,335.51,1.1429,3694,,,
klaviyo_welcome_flow,2026-08-03,1213,49,0,4,186.56,1,1213,1213,525,49
meta_prospecting,2026-08-04,41105,818,451.16,23,1384.66,1.6608,24750,,,
meta_retargeting,2026-08-04,10426,265,98.05,14,518.54,1.8349,5682,,,
google_brand_search,2026-08-04,4298,319,77.72,23,344.97,1.1452,3753,,,
klaviyo_welcome_flow,2026-08-04,1264,51,0,5,188.91,1,1264,1264,551,51
meta_prospecting,2026-08-05,41578,817,460.52,23,1393.07,1.7161,24228,,,
meta_retargeting,2026-08-05,10437,265,99.67,15,526.85,1.845,5657,,,
google_brand_search,2026-08-05,4123,314,73.65,22,322.21,1.144,3604,,,
klaviyo_welcome_flow,2026-08-05,1254,50,0,5,193.89,1,1254,1254,549,50
meta_prospecting,2026-08-06,41134,812,454.67,23,1395.25,1.7541,23450,,,
meta_retargeting,2026-08-06,10260,256,97.64,14,518.04,1.846,5558,,,
google_brand_search,2026-08-06,4122,314,73.92,22,326.65,1.1569,3563,,,
klaviyo_welcome_flow,2026-08-06,1220,47,0,4,174.06,1,1220,1220,529,47
meta_prospecting,2026-08-07,41068,807,450.61,23,1367.62,1.8108,22680,,,
meta_retargeting,2026-08-07,10675,272,102.4,15,532.09,1.8533,5760,,,
google_brand_search,2026-08-07,4090,307,72.78,22,328.09,1.1412,3584,,,
klaviyo_welcome_flow,2026-08-07,1229,47,0,4,180.64,1,1229,1229,535,47
meta_prospecting,2026-08-08,40281,819,443.19,23,1382.94,1.8553,21711,,,
meta_retargeting,2026-08-08,10679,270,101.11,15,529.03,1.8349,5820,,,
google_brand_search,2026-08-08,4232,317,75.7,23,339.85,1.1488,3684,,,
klaviyo_welcome_flow,2026-08-08,1247,48,0,4,184.1,1,1247,1247,533,48
meta_prospecting,2026-08-09,39922,799,438.63,22,1349.95,1.9175,20820,,,
meta_retargeting,2026-08-09,10456,261,98.77,14,501.72,1.8641,5609,,,
google_brand_search,2026-08-09,4322,326,78.43,23,348.1,1.1593,3728,,,
klaviyo_welcome_flow,2026-08-09,1281,49,0,4,189.01,1,1281,1281,554,49
meta_prospecting,2026-08-10,41168,815,455.75,23,1390.67,1.9586,21019,,,
meta_retargeting,2026-08-10,10458,257,100.48,14,519.31,1.8582,5628,,,
google_brand_search,2026-08-10,4226,313,76.68,22,330.38,1.1481,3681,,,
klaviyo_welcome_flow,2026-08-10,1292,49,0,4,190.48,1,1292,1292,562,49
meta_prospecting,2026-08-11,40227,792,446.14,22,1396.66,2.0479,19643,,,
meta_retargeting,2026-08-11,10758,266,102.45,15,541.7,1.8412,5843,,,
google_brand_search,2026-08-11,4245,320,76.74,23,336.58,1.1504,3690,,,
klaviyo_welcome_flow,2026-08-11,1257,47,0,4,173.56,1,1257,1257,541,47
meta_prospecting,2026-08-12,39955,804,439.11,22,1331.75,2.0979,19045,,,
meta_retargeting,2026-08-12,10334,260,97.63,14,503.79,1.8477,5593,,,
google_brand_search,2026-08-12,4289,322,76.9,23,331.62,1.1601,3697,,,
klaviyo_welcome_flow,2026-08-12,1275,47,0,4,177.63,1,1275,1275,550,47
meta_prospecting,2026-08-13,40755,820,449.62,23,1376.61,2.1144,19275,,,
meta_retargeting,2026-08-13,10251,254,98.32,14,509.2,1.8621,5505,,,
google_brand_search,2026-08-13,4192,309,75.19,22,338.9,1.1516,3640,,,
